"","date","temp","dew_pt","hum","wind_spd","wind_gust","dir","vis","pressure","wind_chill","heat_index","precip","precip_rate","precip_total","cond","fog","rain","snow","hail","thunder","tornado"
"1",2018-01-01 02:30:00,69,64,80,2.3,NA,"NNW",1,29.87,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"2",2018-01-01 05:30:00,68,65,87,4.6,NA,"NNW",1,29.84,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"3",2018-01-01 08:30:00,71,64,71,6.9,NA,"NW",1,29.92,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"4",2018-01-01 11:30:00,79,69,64,4.6,NA,"East",2,29.89,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"5",2018-01-01 14:30:00,79,64,51,6.9,NA,"ENE",2,29.82,NA,NA,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
"6",2018-01-01 17:30:00,76,67,65,6.9,NA,"NE",2,29.81,NA,NA,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
"7",2018-01-01 20:30:00,74,65,65,4.6,NA,"NE",2,29.87,NA,NA,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
"8",2018-01-01 23:30:00,71,64,71,4.6,NA,"NW",2,29.87,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"9",2018-01-02 02:30:00,69,61,69,4.6,NA,"NW",1,29.84,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"10",2018-01-02 05:30:00,62,60,90,4.6,NA,"NW",1,29.83,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"11",2018-01-02 08:30:00,66,61,79,5.8,NA,"North",1,29.91,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"12",2018-01-02 11:30:00,79,63,49,3.5,NA,"ENE",2,29.9,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"13",2018-01-02 14:30:00,82,62,40,4.6,NA,"ENE",2,29.82,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"14",2018-01-02 17:30:00,76,65,61,3.5,NA,"ENE",2,29.81,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"15",2018-01-02 20:30:00,72,65,74,2.3,NA,"NNW",2,29.92,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"16",2018-01-02 23:30:00,67,63,83,4.6,NA,"NE",2,29.91,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"17",2018-01-03 02:30:00,64,61,88,2.3,NA,"NW",1,29.88,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"18",2018-01-03 05:30:00,61,58,85,4.6,NA,"NW",1,29.89,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"19",2018-01-03 08:30:00,62,58,84,4.6,NA,"NW",2,29.95,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"20",2018-01-03 11:30:00,77,63,52,4.6,NA,"NW",2,29.94,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"21",2018-01-03 14:30:00,82,60,36,4.6,NA,"ENE",2,29.86,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"22",2018-01-03 17:30:00,76,64,58,4.6,NA,"ENE",2,29.85,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"23",2018-01-03 20:30:00,70,62,69,0,NA,"",2,29.92,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"24",2018-01-03 23:30:00,66,60,74,3.5,NA,"NNW",1,29.94,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"25",2018-01-04 11:30:00,77,65,59,4.6,NA,"ENE",2,30,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"26",2018-01-04 14:30:00,79,66,55,6.9,NA,"East",2,29.9,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"27",2018-01-04 17:30:00,75,67,69,2.3,NA,"NE",2,29.89,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"28",2018-01-04 20:30:00,71,65,74,0,NA,"",2,29.94,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"29",2018-01-04 23:30:00,65,63,90,3.5,NA,"NNW",2,29.95,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"30",2018-01-05 05:30:00,60,59,94,4.6,NA,"NNW",1,29.94,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"31",2018-01-05 08:30:00,63,60,85,2.3,NA,"NNW",1,29.98,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
